id,prediction,Classification
k141_185794_17,0.33,non-AMP
k141_185794_18,0.23,non-AMP
k141_185794_19,0.44,non-AMP
k141_185794_20,0.42,non-AMP
k141_185794_21,0.57,non-AMP
k141_185794_22,0.84,AMP
k141_185794_23,0.53,non-AMP
k141_185794_24,0.63,non-AMP
k141_185794_25,0.45,non-AMP
k141_185794_26,0.24,non-AMP
k141_185794_27,0.09,non-AMP
k141_185794_28,0.18,non-AMP
k141_185794_29,0.69,non-AMP
k141_185794_30,0.3,non-AMP
k141_185794_31,0.13,non-AMP
k141_185794_32,0.12,non-AMP
k141_185794_33,0.19,non-AMP
k141_185794_34,0.68,non-AMP
k141_185794_35,0.49,non-AMP
k141_185794_36,0.78,AMP
k141_185794_37,0.5,non-AMP
k141_185794_38,0.5,non-AMP
k141_6042159_1,0.39,non-AMP
k141_6042159_2,0.64,non-AMP
k141_6042159_3,0.19,non-AMP
k141_6042159_4,0.49,non-AMP
k141_6042159_5,0.76,AMP
k141_6042159_6,0.71,non-AMP
k141_6042159_7,0.5,non-AMP
k141_6042159_8,0.6,non-AMP
k141_6042159_9,0.4,non-AMP
k141_6042159_10,0.32,non-AMP
k141_6042159_11,0.15,non-AMP
k141_6042159_12,0.59,non-AMP
k141_7179250_1,0.08,non-AMP
k141_7179250_2,0.11,non-AMP
k141_7179250_3,0.59,non-AMP
k141_7179250_4,0.34,non-AMP
k141_300119_1,0.33,non-AMP
k141_300119_2,0.2,non-AMP
k141_300119_3,0.29,non-AMP
k141_300119_4,0.24,non-AMP
k141_300119_5,0.72,non-AMP
k141_300119_6,0.55,non-AMP
k141_300119_7,0.37,non-AMP
k141_300119_8,0.53,non-AMP
k141_300119_9,0.36,non-AMP
k141_300119_10,0.62,non-AMP
k141_300119_11,0.12,non-AMP
k141_300119_12,0.73,non-AMP
k141_300119_13,0.5,non-AMP
k141_300119_14,0.64,non-AMP
k141_300119_15,0.51,non-AMP
k141_300119_16,0.44,non-AMP
k141_300119_17,0.69,non-AMP
k141_300119_18,0.37,non-AMP
k141_300119_19,0.31,non-AMP
k141_1550770_1,0.33,non-AMP
k141_1550770_2,0.64,non-AMP
k141_1550770_3,0.17,non-AMP
k141_1550770_4,0.72,non-AMP
k141_1550770_5,0.37,non-AMP
k141_1550770_6,0.31,non-AMP
k141_1550770_7,0.5,non-AMP
k141_1550770_8,0.47,non-AMP
k141_1550770_9,0.48,non-AMP
k141_1550770_10,0.54,non-AMP
k141_1550770_11,0.11,non-AMP
k141_1550770_12,0.47,non-AMP
k141_1550770_13,0.63,non-AMP
k141_1550770_14,0.29,non-AMP
k141_1550770_15,0.11,non-AMP
k141_1550770_16,0.18,non-AMP
k141_1550770_17,0.36,non-AMP
k141_1550770_18,0.85,AMP
k141_755081_1,0.64,non-AMP
k141_755081_2,0.33,non-AMP
k141_755081_3,0.63,non-AMP
k141_755081_4,0.67,non-AMP
k141_755081_5,0.62,non-AMP
k141_755081_6,0.56,non-AMP
k141_755081_7,0.15,non-AMP
k141_755081_8,0.26,non-AMP
k141_755081_9,0.76,AMP
k141_755081_10,0.84,AMP
k141_755081_11,0.2,non-AMP
k141_755081_12,0.46,non-AMP
k141_755081_13,0.42,non-AMP
k141_585190_1,0.73,non-AMP
k141_585190_2,0.18,non-AMP
k141_585190_3,0.19,non-AMP
k141_585190_4,0.56,non-AMP
k141_585190_5,0.66,non-AMP
k141_585190_6,0.44,non-AMP
k141_585190_7,0.51,non-AMP
k141_585190_8,0.72,non-AMP
k141_585190_9,0.33,non-AMP
k141_585190_10,0.17,non-AMP
k141_585190_11,0.27,non-AMP
k141_585190_12,0.08,non-AMP
k141_585190_13,0.71,non-AMP
k141_585190_14,0.15,non-AMP
k141_585190_15,0.67,non-AMP
k141_585190_16,0.5,non-AMP
k141_585190_17,0.26,non-AMP
k141_585190_18,0.31,non-AMP
k141_585190_19,0.61,non-AMP
k141_585190_20,0.39,non-AMP
k141_585190_21,0.45,non-AMP
k141_3427995_1,0.05,non-AMP
k141_3427995_2,0.64,non-AMP
k141_3427995_3,0.15,non-AMP
k141_3427995_4,0.55,non-AMP
k141_3427995_5,0.41,non-AMP
k141_3427995_6,0.52,non-AMP
k141_3427995_7,0.35,non-AMP
k141_3427995_8,0.35,non-AMP
k141_3427995_9,0.49,non-AMP
k141_3427995_10,0.55,non-AMP
k141_3427995_11,0.55,non-AMP
k141_3427995_12,0.51,non-AMP
k141_3427995_13,0.19,non-AMP
k141_3427995_14,0.63,non-AMP
k141_3427995_15,0.44,non-AMP
k141_3427995_16,0.36,non-AMP
k141_5418157_1,0.49,non-AMP
k141_5418157_2,0.21,non-AMP
k141_5418157_3,0.42,non-AMP
k141_5418157_4,0.54,non-AMP
k141_5418157_5,0.48,non-AMP
k141_5532026_1,0.38,non-AMP
k141_5532026_2,0.54,non-AMP
k141_5532026_3,0.22,non-AMP
k141_5532026_4,0.64,non-AMP
k141_5532026_5,0.64,non-AMP
k141_5532026_6,0.72,non-AMP
k141_5532026_7,0.6,non-AMP
k141_5532026_8,0.36,non-AMP
k141_5532026_9,0.22,non-AMP
k141_5532026_10,0.54,non-AMP
k141_5532026_11,0.78,AMP
k141_5532026_12,0.36,non-AMP
k141_5532026_13,0.46,non-AMP
k141_5532026_14,0.36,non-AMP
k141_5532026_15,0.36,non-AMP
k141_5532026_16,0.26,non-AMP
k141_5532026_17,0.33,non-AMP
k141_5532026_18,0.63,non-AMP
k141_5532026_19,0.27,non-AMP
k141_5532026_20,0.34,non-AMP
k141_5532026_21,0.59,non-AMP
k141_756515_1,0.47,non-AMP
k141_756515_2,0.49,non-AMP
k141_756515_3,0.12,non-AMP
k141_1439066_1,0.31,non-AMP
k141_1439066_2,0.78,AMP
k141_1439066_3,0.45,non-AMP
k141_1439066_4,0.56,non-AMP
k141_1439066_5,0.58,non-AMP
k141_1439066_6,0.37,non-AMP
k141_1439066_7,0.51,non-AMP
k141_1439066_8,0.8,AMP
k141_1439066_9,0.54,non-AMP
k141_1439066_10,0.0,non-AMP
k141_1439066_11,0.43,non-AMP
k141_1439066_12,0.64,non-AMP
k141_1439066_13,0.67,non-AMP
k141_1439066_14,0.54,non-AMP
k141_1439066_15,0.65,non-AMP
k141_1439066_16,0.54,non-AMP
k141_1439066_17,0.66,non-AMP
k141_1439066_18,0.2,non-AMP
k141_1439066_19,0.7,non-AMP
k141_1439066_20,0.7,non-AMP
k141_1439066_21,0.63,non-AMP
k141_1439066_22,0.5,non-AMP
k141_1439066_23,0.14,non-AMP
k141_1439066_24,0.73,non-AMP
k141_1439066_25,0.6,non-AMP
k141_1439066_26,0.61,non-AMP
k141_1439066_27,0.53,non-AMP
k141_1439066_28,0.58,non-AMP
k141_1439066_29,0.48,non-AMP
k141_1439066_30,0.37,non-AMP
k141_1439066_31,0.44,non-AMP
k141_1439066_32,0.11,non-AMP
k141_1439066_33,0.52,non-AMP
k141_1439066_34,0.48,non-AMP
k141_1439066_35,0.39,non-AMP
k141_1439066_36,0.35,non-AMP
k141_1439066_37,0.27,non-AMP
k141_1439066_38,0.48,non-AMP
k141_1439066_39,0.05,non-AMP
k141_2008784_1,0.22,non-AMP
k141_2008784_2,0.15,non-AMP
k141_2008784_3,0.72,non-AMP
k141_2008784_4,0.52,non-AMP
k141_2008784_5,0.67,non-AMP
k141_2008784_6,0.76,AMP
k141_2008784_7,0.67,non-AMP
k141_2008784_8,0.71,non-AMP
k141_1894485_1,0.71,non-AMP
k141_1894485_2,0.06,non-AMP
k141_1894485_3,0.5,non-AMP
k141_1894485_4,0.65,non-AMP
k141_1894485_5,0.57,non-AMP
k141_6556192_1,0.3,non-AMP
k141_6556192_2,0.75,AMP
k141_6556192_3,0.35,non-AMP
k141_2634229_1,0.11,non-AMP
k141_2634229_2,0.49,non-AMP
k141_2634229_3,0.48,non-AMP
k141_2634229_4,0.59,non-AMP
k141_2634229_5,0.65,non-AMP
k141_2634229_6,0.54,non-AMP
k141_2634229_7,0.57,non-AMP
k141_2634229_8,0.3,non-AMP
k141_2634229_9,0.65,non-AMP
k141_2634229_10,0.59,non-AMP
k141_2634229_11,0.52,non-AMP
k141_2634229_12,0.46,non-AMP
k141_2634229_13,0.21,non-AMP
k141_2634229_14,0.66,non-AMP
k141_2634229_15,0.29,non-AMP
k141_2634229_16,0.58,non-AMP
k141_2634229_17,0.65,non-AMP
k141_5932002_1,0.72,non-AMP
k141_5932002_2,0.53,non-AMP
k141_5932002_3,0.27,non-AMP
k141_588228_1,0.55,non-AMP
k141_588228_2,0.48,non-AMP
k141_588228_3,0.75,AMP
k141_588228_4,0.58,non-AMP
k141_588228_5,0.59,non-AMP
k141_588228_6,0.63,non-AMP
k141_588228_7,0.54,non-AMP
k141_588228_8,0.45,non-AMP
k141_588228_9,0.1,non-AMP
k141_588228_10,0.41,non-AMP
k141_588228_11,0.27,non-AMP
k141_588228_12,0.22,non-AMP
k141_588228_13,0.04,non-AMP
k141_588228_14,0.55,non-AMP
k141_4056428_1,0.16,non-AMP
k141_4056428_2,0.53,non-AMP
k141_4056428_3,0.69,non-AMP
k141_4056428_4,0.13,non-AMP
k141_20562_1,0.69,non-AMP
k141_20562_2,0.4,non-AMP
k141_20562_3,0.34,non-AMP
k141_20562_4,0.67,non-AMP
k141_20562_5,0.54,non-AMP
k141_20562_6,0.69,non-AMP
k141_20562_7,0.39,non-AMP
k141_20562_8,0.07,non-AMP
k141_20562_9,0.4,non-AMP
k141_3715972_1,0.16,non-AMP
k141_3715972_2,0.77,AMP
k141_3715972_3,0.54,non-AMP
k141_3715972_4,0.68,non-AMP
k141_3715972_5,0.25,non-AMP
k141_3715972_6,0.43,non-AMP
k141_3715972_7,0.69,non-AMP
k141_3715972_8,0.39,non-AMP
k141_3715972_9,0.31,non-AMP
k141_3715972_10,0.36,non-AMP
k141_3715972_11,0.26,non-AMP
k141_3715972_12,0.68,non-AMP
k141_3715972_13,0.23,non-AMP
k141_3715972_14,0.49,non-AMP
k141_3715972_15,0.12,non-AMP
k141_3715972_16,0.12,non-AMP
k141_76903_1,0.39,non-AMP
k141_76903_2,0.7,non-AMP
k141_76903_3,0.56,non-AMP
k141_76903_4,0.62,non-AMP
k141_76903_5,0.69,non-AMP
k141_76903_6,0.32,non-AMP
k141_816517_1,0.39,non-AMP
k141_816517_2,0.2,non-AMP
k141_816517_3,0.07,non-AMP
k141_816517_4,0.26,non-AMP
k141_816517_5,0.62,non-AMP
k141_816517_6,0.45,non-AMP
k141_6502032_1,0.36,non-AMP
k141_6502032_2,0.49,non-AMP
k141_6502032_3,0.66,non-AMP
k141_6502032_4,0.24,non-AMP
k141_6502032_5,0.63,non-AMP
k141_6502032_6,0.75,AMP
k141_2693910_1,0.64,non-AMP
k141_2693910_2,0.02,non-AMP
k141_2693910_3,0.63,non-AMP
k141_2693910_4,0.68,non-AMP
k141_2693910_5,0.53,non-AMP
k141_2693910_6,0.67,non-AMP
k141_2693910_7,0.72,non-AMP
k141_2693910_8,0.61,non-AMP
k141_1385089_1,0.36,non-AMP
k141_1385089_2,0.59,non-AMP
k141_1385089_3,0.5,non-AMP
k141_1385089_4,0.64,non-AMP
k141_1215487_1,0.48,non-AMP
k141_1215487_2,0.57,non-AMP
k141_1215487_3,0.66,non-AMP
k141_1215487_4,0.44,non-AMP
k141_1215487_5,0.13,non-AMP
k141_2124951_1,0.48,non-AMP
k141_2124951_2,0.76,AMP
k141_2124951_3,0.33,non-AMP
k141_136558_1,0.22,non-AMP
k141_136558_2,0.49,non-AMP
k141_136558_3,0.21,non-AMP
k141_136558_4,0.08,non-AMP
k141_136558_5,0.5,non-AMP
k141_136558_6,0.64,non-AMP
k141_136558_7,0.47,non-AMP
k141_136558_8,0.48,non-AMP
k141_136558_9,0.69,non-AMP
k141_136558_10,0.75,AMP
k141_136558_11,0.65,non-AMP
k141_136558_12,0.55,non-AMP
k141_136558_13,0.61,non-AMP
k141_136558_14,0.54,non-AMP
k141_136558_15,0.65,non-AMP
k141_136558_16,0.6,non-AMP
k141_136558_17,0.1,non-AMP
k141_136558_18,0.74,non-AMP
k141_136558_19,0.36,non-AMP
k141_136558_20,0.52,non-AMP
k141_136558_21,0.45,non-AMP
k141_136558_22,0.74,non-AMP
k141_136558_23,0.26,non-AMP
k141_136558_24,0.53,non-AMP
k141_2636918_1,0.37,non-AMP
k141_2636918_2,0.62,non-AMP
k141_2636918_3,0.08,non-AMP
k141_2636918_4,0.61,non-AMP
k141_2636918_5,0.61,non-AMP
k141_2636918_6,0.36,non-AMP
k141_2636918_7,0.63,non-AMP
k141_2636918_8,0.36,non-AMP
k141_2636918_9,0.64,non-AMP
k141_2636918_10,0.38,non-AMP
k141_2636918_11,0.64,non-AMP
k141_2636918_12,0.52,non-AMP
k141_2636918_13,0.38,non-AMP
k141_2636918_14,0.52,non-AMP
k141_2636918_15,0.23,non-AMP
k141_2636918_16,0.49,non-AMP
k141_2636918_17,0.71,non-AMP
k141_2636918_18,0.53,non-AMP
k141_2636918_19,0.2,non-AMP
k141_2636918_20,0.77,AMP
k141_2636918_21,0.23,non-AMP
k141_2636918_22,0.72,non-AMP
k141_2636918_23,0.53,non-AMP
k141_4798210_1,0.56,non-AMP
k141_4798210_2,0.56,non-AMP
k141_4798210_3,0.24,non-AMP
k141_989252_1,0.54,non-AMP
k141_989252_2,0.75,AMP
k141_989252_3,0.52,non-AMP
k141_989252_4,0.2,non-AMP
k141_1727278_1,0.6,non-AMP
k141_1727278_2,0.22,non-AMP
k141_1727278_3,0.43,non-AMP
k141_1727278_4,0.35,non-AMP
k141_1727278_5,0.22,non-AMP
k141_1727278_6,0.64,non-AMP
k141_1727278_7,0.09,non-AMP
k141_1727278_8,0.46,non-AMP
k141_1727278_9,0.18,non-AMP
k141_1727278_10,0.19,non-AMP
k141_1727278_11,0.32,non-AMP
k141_1727278_12,0.37,non-AMP
k141_1727278_13,0.29,non-AMP
k141_1727278_14,0.07,non-AMP
k141_1727278_15,0.23,non-AMP
k141_1727278_16,0.69,non-AMP
k141_1727278_17,0.45,non-AMP
k141_1727278_18,0.59,non-AMP
k141_1727278_19,0.26,non-AMP
k141_1727278_20,0.5,non-AMP
k141_1727278_21,0.54,non-AMP
k141_1727278_22,0.65,non-AMP
k141_1727278_23,0.61,non-AMP
k141_1727278_24,0.62,non-AMP
k141_1727278_25,0.31,non-AMP
k141_1727278_26,0.35,non-AMP
k141_1727278_27,0.07,non-AMP
k141_1727278_28,0.43,non-AMP
k141_1727278_29,0.53,non-AMP
k141_1727278_30,0.08,non-AMP
k141_1727278_31,0.07,non-AMP
k141_1727278_32,0.73,non-AMP
k141_1727278_33,0.69,non-AMP
k141_1727278_34,0.77,AMP
k141_1727278_35,0.29,non-AMP
k141_1727278_36,0.18,non-AMP
k141_1727278_37,0.33,non-AMP
k141_1727278_38,0.5,non-AMP
k141_1727278_39,0.12,non-AMP
k141_1727278_40,0.56,non-AMP
k141_1727278_41,0.4,non-AMP
k141_1727278_42,0.38,non-AMP
k141_1727278_43,0.62,non-AMP
k141_1727278_44,0.6,non-AMP
k141_3376327_1,0.6,non-AMP
k141_3376327_2,0.45,non-AMP
k141_3376327_3,0.48,non-AMP
k141_3376327_4,0.67,non-AMP
k141_3376327_5,0.62,non-AMP
k141_3376327_6,0.62,non-AMP
k141_3376327_7,0.64,non-AMP
k141_3376327_8,0.59,non-AMP
k141_3376327_9,0.62,non-AMP
k141_3376327_10,0.56,non-AMP
k141_3376327_11,0.67,non-AMP
k141_3376327_12,0.31,non-AMP
k141_3376327_13,0.93,AMP
k141_2125304_1,0.63,non-AMP
k141_2125304_2,0.62,non-AMP
k141_2125304_3,0.42,non-AMP
k141_2125304_4,0.46,non-AMP
k141_5025796_1,0.56,non-AMP
k141_5025796_2,0.07,non-AMP
k141_5025796_3,0.72,non-AMP
k141_3263184_1,0.29,non-AMP
k141_3263184_2,0.56,non-AMP
k141_3263184_3,0.61,non-AMP
k141_3263184_4,0.1,non-AMP
k141_4230043_1,0.38,non-AMP
k141_4230043_2,0.7,non-AMP
k141_4230043_3,0.35,non-AMP
k141_4230043_4,0.44,non-AMP
k141_5423802_1,0.51,non-AMP
k141_5423802_2,0.24,non-AMP
k141_5423802_3,0.03,non-AMP
k141_5423802_4,0.48,non-AMP
k141_5423802_5,0.35,non-AMP
k141_3832468_1,0.21,non-AMP
k141_3832468_2,0.63,non-AMP
k141_3832468_3,0.7,non-AMP
k141_3832468_4,0.49,non-AMP
k141_2582506_1,0.47,non-AMP
k141_2582506_2,0.46,non-AMP
k141_2582506_3,0.29,non-AMP
k141_2582506_4,0.64,non-AMP
k141_2582506_5,0.7,non-AMP
k141_2582506_6,0.04,non-AMP
k141_2582506_7,0.47,non-AMP
k141_2582506_8,0.58,non-AMP
k141_2582506_9,0.24,non-AMP
k141_2582506_10,0.16,non-AMP
k141_2582506_11,0.42,non-AMP
k141_2582506_12,0.39,non-AMP
k141_2582506_13,0.71,non-AMP
k141_2582506_14,0.35,non-AMP
k141_2582506_15,0.63,non-AMP
k141_2582506_16,0.57,non-AMP
k141_2582506_17,0.73,non-AMP
k141_2582506_18,0.5,non-AMP
k141_2582506_19,0.29,non-AMP
k141_2582506_20,0.43,non-AMP
k141_1786643_1,0.46,non-AMP
k141_1786643_2,0.55,non-AMP
k141_1786643_3,0.36,non-AMP
k141_1786643_4,0.78,AMP
k141_1786643_5,0.77,AMP
k141_1786643_6,0.73,non-AMP
k141_1786643_7,0.22,non-AMP
k141_1786643_8,0.18,non-AMP
k141_1786643_9,0.28,non-AMP
k141_1786643_10,0.42,non-AMP
k141_3947051_1,0.23,non-AMP
k141_3947051_2,0.42,non-AMP
k141_3947051_3,0.26,non-AMP
k141_3947051_4,0.63,non-AMP
k141_365382_1,0.47,non-AMP
k141_365382_2,0.55,non-AMP
k141_365382_3,0.5,non-AMP
k141_365382_4,0.44,non-AMP
k141_365382_5,0.37,non-AMP
k141_365382_6,0.5,non-AMP
k141_365382_7,0.55,non-AMP
k141_365382_8,0.54,non-AMP
k141_5993603_1,0.08,non-AMP
k141_5993603_2,0.35,non-AMP
k141_5993603_3,0.51,non-AMP
k141_5993603_4,0.36,non-AMP
k141_5993603_5,0.57,non-AMP
k141_5993603_6,0.41,non-AMP
k141_5993603_7,0.49,non-AMP
k141_5993603_8,0.56,non-AMP
k141_5993603_9,0.2,non-AMP
k141_5993603_10,0.59,non-AMP
k141_5993603_11,0.19,non-AMP
k141_5993603_12,0.37,non-AMP
k141_5993603_13,0.38,non-AMP
k141_5993603_14,0.42,non-AMP
k141_5993603_15,0.22,non-AMP
k141_5993603_16,0.36,non-AMP
k141_5767409_1,0.29,non-AMP
k141_5767409_2,0.31,non-AMP
k141_5767409_3,0.53,non-AMP
k141_2925060_1,0.43,non-AMP
k141_2925060_2,0.7,non-AMP
k141_2925060_3,0.74,non-AMP
k141_2925060_4,0.56,non-AMP
k141_2925060_5,0.76,AMP
k141_2925060_6,0.69,non-AMP
k141_2925060_7,0.4,non-AMP
k141_6393647_1,0.71,non-AMP
k141_6393647_2,0.77,AMP
k141_6393647_3,0.55,non-AMP
k141_6393647_4,0.22,non-AMP
k141_6393647_5,0.56,non-AMP
k141_6393647_6,0.59,non-AMP
k141_6393647_7,0.28,non-AMP
k141_6393647_8,0.37,non-AMP
k141_877353_1,0.35,non-AMP
k141_877353_2,0.54,non-AMP
k141_877353_3,0.28,non-AMP
k141_877353_4,0.46,non-AMP
k141_877353_5,0.63,non-AMP
k141_877353_6,0.7,non-AMP
k141_877353_7,0.59,non-AMP
k141_877353_8,0.46,non-AMP
k141_877353_9,0.17,non-AMP
k141_877353_10,0.46,non-AMP
k141_877353_11,0.02,non-AMP
k141_877353_12,0.21,non-AMP
k141_877353_13,0.44,non-AMP
k141_877353_14,0.3,non-AMP
k141_877353_15,0.38,non-AMP
k141_2128845_1,0.27,non-AMP
k141_2128845_2,0.96,AMP
k141_2128845_3,0.62,non-AMP
k141_2128845_4,0.51,non-AMP
k141_2128845_5,0.44,non-AMP
k141_2128845_6,0.49,non-AMP
k141_2128845_7,0.42,non-AMP
k141_2128845_8,0.7,non-AMP
k141_2128845_9,0.48,non-AMP
k141_2128845_10,0.71,non-AMP
k141_2128845_11,0.61,non-AMP
k141_4631311_1,0.05,non-AMP
k141_4631311_2,0.56,non-AMP
k141_4631311_3,0.81,AMP
k141_3834619_1,0.51,non-AMP
k141_3834619_2,0.57,non-AMP
k141_3834619_3,0.45,non-AMP
k141_3834619_4,0.61,non-AMP
k141_3834619_5,0.31,non-AMP
k141_3834619_6,0.04,non-AMP
k141_3834619_7,0.38,non-AMP
k141_3834619_8,0.68,non-AMP
k141_3834619_9,0.61,non-AMP
k141_3834619_10,0.15,non-AMP
k141_6450248_1,0.43,non-AMP
k141_6450248_2,0.27,non-AMP
k141_6450248_3,0.58,non-AMP
k141_6450248_4,0.46,non-AMP
k141_6450248_5,0.15,non-AMP
k141_6450248_6,0.03,non-AMP
k141_6450248_7,0.64,non-AMP
k141_6450248_8,0.24,non-AMP
k141_878783_1,0.03,non-AMP
k141_878783_2,0.6,non-AMP
k141_878783_3,0.72,non-AMP
k141_878783_4,0.78,AMP
k141_878783_5,0.64,non-AMP
k141_878783_6,0.31,non-AMP
k141_4006950_1,0.61,non-AMP
k141_4006950_2,0.03,non-AMP
k141_4006950_3,0.67,non-AMP
k141_4006950_4,0.68,non-AMP
k141_4006950_5,0.61,non-AMP
k141_4006950_6,0.62,non-AMP
k141_4006950_7,0.72,non-AMP
k141_4006950_8,0.74,non-AMP
k141_4006950_9,0.59,non-AMP
k141_4006950_10,0.42,non-AMP
k141_4006950_11,0.25,non-AMP
k141_4006950_12,0.54,non-AMP
k141_2470590_1,0.46,non-AMP
k141_2470590_2,0.66,non-AMP
k141_2470590_3,0.43,non-AMP
k141_2470590_4,0.36,non-AMP
k141_2470590_5,0.54,non-AMP
k141_7190862_1,0.41,non-AMP
k141_7190862_2,0.22,non-AMP
k141_7190862_3,0.03,non-AMP
k141_7190862_4,0.46,non-AMP
k141_7190862_5,0.39,non-AMP
k141_7190862_6,0.16,non-AMP
k141_7190862_7,0.56,non-AMP
k141_7190862_8,0.13,non-AMP
k141_7190862_9,0.14,non-AMP
k141_7190862_10,0.22,non-AMP
k141_7190862_11,0.09,non-AMP
k141_7190862_12,0.18,non-AMP
k141_7190862_13,0.19,non-AMP
k141_7190862_14,0.1,non-AMP
k141_7190862_15,0.05,non-AMP
k141_7190862_16,0.21,non-AMP
k141_7190862_17,0.08,non-AMP
k141_7190862_18,0.04,non-AMP
k141_7190862_19,0.06,non-AMP
k141_7190862_20,0.68,non-AMP
k141_7190862_21,0.07,non-AMP
k141_7190862_22,0.64,non-AMP
k141_7190862_23,0.09,non-AMP
k141_7190862_24,0.01,non-AMP
k141_7190862_25,0.28,non-AMP
k141_7190862_26,0.34,non-AMP
k141_7190862_27,0.05,non-AMP
k141_7190862_28,0.13,non-AMP
k141_7190862_29,0.03,non-AMP
k141_7190862_30,0.51,non-AMP
k141_7190862_31,0.6,non-AMP
k141_7190862_32,0.48,non-AMP
k141_7190862_33,0.31,non-AMP
k141_7190862_34,0.51,non-AMP
k141_7190862_35,0.15,non-AMP
k141_7190862_36,0.64,non-AMP
k141_7190862_37,0.68,non-AMP
k141_7190862_38,0.68,non-AMP
k141_7190862_39,0.46,non-AMP
k141_84163_1,0.64,non-AMP
k141_84163_2,0.32,non-AMP
k141_84163_3,0.26,non-AMP
k141_84163_4,0.27,non-AMP
k141_84163_5,0.17,non-AMP
k141_84163_6,0.18,non-AMP
k141_84163_7,0.63,non-AMP
k141_84163_8,0.62,non-AMP
k141_84163_9,0.44,non-AMP
k141_84163_10,0.55,non-AMP
k141_84163_11,0.59,non-AMP
k141_84163_12,0.53,non-AMP
k141_84163_13,0.2,non-AMP
k141_84163_14,0.75,AMP
k141_84163_15,0.61,non-AMP
k141_84163_16,0.47,non-AMP
k141_84163_17,0.39,non-AMP
k141_84163_18,0.39,non-AMP
k141_5485147_1,0.71,non-AMP
k141_5485147_2,0.63,non-AMP
k141_5485147_3,0.63,non-AMP
k141_5485147_4,0.5,non-AMP
k141_5485147_5,0.05,non-AMP
k141_5485147_6,0.74,non-AMP
k141_5485147_7,0.7,non-AMP
k141_5485147_8,0.84,AMP
k141_5485147_9,0.44,non-AMP
k141_6737663_1,0.08,non-AMP
k141_6737663_2,0.54,non-AMP
k141_6737663_3,0.27,non-AMP
k141_6737663_4,0.35,non-AMP
k141_5371808_1,0.64,non-AMP
k141_5371808_2,0.41,non-AMP
k141_5371808_3,0.35,non-AMP
k141_5371808_4,0.68,non-AMP
k141_5371808_5,0.3,non-AMP
k141_5371808_6,0.36,non-AMP
k141_5371808_7,0.63,non-AMP
k141_5371808_8,0.31,non-AMP
k141_5371808_9,0.28,non-AMP
k141_5371808_10,0.52,non-AMP
k141_5371808_11,0.36,non-AMP
k141_5371808_12,0.38,non-AMP
k141_5371808_13,0.24,non-AMP
k141_5371808_14,0.6,non-AMP
k141_5371808_15,0.13,non-AMP
k141_5371808_16,0.52,non-AMP
k141_5371808_17,0.56,non-AMP
k141_5371808_18,0.13,non-AMP
k141_5371808_19,0.76,AMP
k141_5371808_20,0.19,non-AMP
k141_5371808_21,0.64,non-AMP
k141_5371808_22,0.37,non-AMP
k141_5371808_23,0.44,non-AMP
k141_5371808_24,0.31,non-AMP
k141_5371808_25,0.76,AMP
k141_5371808_26,0.28,non-AMP
k141_5371808_27,0.55,non-AMP
k141_5371808_28,0.69,non-AMP
k141_5371808_29,0.63,non-AMP
k141_5371808_30,0.24,non-AMP
k141_5371808_31,0.31,non-AMP
k141_5371808_32,0.3,non-AMP
k141_5371808_33,0.44,non-AMP
k141_5884663_1,0.39,non-AMP
k141_5884663_2,0.35,non-AMP
k141_5884663_3,0.07,non-AMP
k141_2417310_1,0.54,non-AMP
k141_2417310_2,0.27,non-AMP
k141_2417310_3,0.52,non-AMP
k141_2417310_4,0.41,non-AMP
k141_2417310_5,0.62,non-AMP
k141_2417310_6,0.82,AMP
k141_2417310_7,0.64,non-AMP
k141_2417310_8,0.74,non-AMP
k141_2417310_9,0.75,AMP
k141_2417310_10,0.57,non-AMP
k141_2417310_11,0.7,non-AMP
k141_2417310_12,0.66,non-AMP
k141_2417310_13,0.37,non-AMP
k141_2417310_14,0.4,non-AMP
k141_2417310_15,0.61,non-AMP
k141_2417310_16,0.72,non-AMP
k141_2417310_17,0.4,non-AMP
k141_2417310_18,0.71,non-AMP
k141_2417310_19,0.58,non-AMP
k141_2417310_20,0.6,non-AMP
k141_6453226_1,0.77,AMP
k141_6453226_2,0.22,non-AMP
k141_6453226_3,0.57,non-AMP
k141_6453226_4,0.4,non-AMP
k141_6453226_5,0.17,non-AMP
k141_2815083_1,0.51,non-AMP
k141_2815083_2,0.6,non-AMP
k141_2815083_3,0.14,non-AMP
k141_2815083_4,0.59,non-AMP
k141_2815083_5,0.32,non-AMP
k141_2815083_6,0.25,non-AMP
k141_3952734_1,0.66,non-AMP
k141_3952734_2,0.49,non-AMP
k141_3952734_3,0.64,non-AMP
k141_3952734_4,0.5,non-AMP
k141_3952734_5,0.66,non-AMP
k141_3952734_6,0.1,non-AMP
k141_3952734_7,0.42,non-AMP
k141_3952734_8,0.48,non-AMP
k141_3952734_9,0.44,non-AMP
k141_3952734_10,0.58,non-AMP
k141_3952734_11,0.29,non-AMP
k141_3952734_12,0.47,non-AMP
k141_3952734_13,0.2,non-AMP
k141_3952734_14,0.44,non-AMP
k141_3952734_15,0.67,non-AMP
k141_3952734_16,0.55,non-AMP
k141_4066318_1,0.61,non-AMP
k141_4066318_2,0.36,non-AMP
k141_4066318_3,0.19,non-AMP
k141_1337843_1,0.07,non-AMP
k141_1337843_2,0.63,non-AMP
